"5/8/2026, 9:59:44 PM",NaN

time,distance
"5/8/2026, 9:59:44 PM",NaN

time,distance
"5/8/2026, 9:59:44 PM",NaN

time,distance
"5/8/2026, 9:59:44 PM",NaN

time,distance
"5/8/2026, 9:59:44 PM",NaN

time,distance
"5/8/2026, 9:59:44 PM",NaN

time,distance
"5/8/2026, 9:59:45 PM",NaN

time,distance
"5/8/2026, 9:59:45 PM",NaN

time,distance
"5/8/2026, 9:59:45 PM",NaN

time,distance
"5/8/2026, 9:59:45 PM",NaN

time,distance
"5/8/2026, 9:59:45 PM",NaN

time,distance
"5/8/2026, 9:59:45 PM",NaN

time,distance
"5/8/2026, 9:59:46 PM",NaN

time,distance
"5/8/2026, 9:59:46 PM",NaN

time,distance
"5/8/2026, 9:59:46 PM",NaN

time,distance
"5/8/2026, 9:59:46 PM",NaN

time,distance
"5/8/2026, 9:59:46 PM",NaN

time,distance
"5/8/2026, 9:59:46 PM",NaN

time,distance
"5/8/2026, 9:59:47 PM",NaN

time,distance
"5/8/2026, 9:59:47 PM",NaN

time,distance
"5/8/2026, 9:59:47 PM",NaN

time,distance
"5/8/2026, 9:59:47 PM",NaN

time,distance
"5/8/2026, 9:59:47 PM",NaN

time,distance
"5/8/2026, 9:59:47 PM",NaN

time,distance
"5/8/2026, 9:59:48 PM",NaN

time,distance
"5/8/2026, 9:59:48 PM",NaN

time,distance
"5/8/2026, 9:59:48 PM",NaN

time,distance
"5/8/2026, 9:59:48 PM",NaN

time,distance
"5/8/2026, 9:59:48 PM",NaN

time,distance
"5/8/2026, 9:59:48 PM",NaN

time,distance
"5/8/2026, 9:59:48 PM",NaN

time,distance
"5/8/2026, 9:59:48 PM",NaN

time,distance
"5/8/2026, 9:59:49 PM",NaN

time,distance
"5/8/2026, 9:59:49 PM",NaN

time,distance
"5/8/2026, 9:59:49 PM",NaN

time,distance
"5/8/2026, 9:59:49 PM",NaN

time,distance
"5/8/2026, 9:59:49 PM",NaN

time,distance
"5/8/2026, 9:59:49 PM",NaN

time,distance
"5/8/2026, 9:59:50 PM",NaN

time,distance
"5/8/2026, 9:59:50 PM",NaN

time,distance
"5/8/2026, 9:59:50 PM",NaN

time,distance
"5/8/2026, 9:59:50 PM",NaN

time,distance
"5/8/2026, 9:59:50 PM",NaN

time,distance
"5/8/2026, 9:59:50 PM",NaN

time,distance
"5/8/2026, 9:59:51 PM",NaN

time,distance
"5/8/2026, 9:59:51 PM",NaN

time,distance
"5/8/2026, 9:59:51 PM",NaN

time,distance
"5/8/2026, 9:59:51 PM",NaN

time,distance
"5/8/2026, 9:59:51 PM",NaN

time,distance
"5/8/2026, 9:59:51 PM",NaN

time,distance
"5/8/2026, 9:59:52 PM",NaN

time,distance
"5/8/2026, 9:59:52 PM",NaN

time,distance
"5/8/2026, 9:59:54 PM",NaN

time,distance
"5/8/2026, 9:59:54 PM",NaN

time,distance
"5/8/2026, 9:59:55 PM",NaN

time,distance
"5/8/2026, 9:59:55 PM",NaN

time,distance
"5/8/2026, 9:59:55 PM",NaN

time,distance
"5/8/2026, 9:59:55 PM",NaN

time,distance
"5/8/2026, 9:59:56 PM",NaN

time,distance
"5/8/2026, 9:59:56 PM",NaN

time,distance
"5/8/2026, 9:59:56 PM",NaN

time,distance
"5/8/2026, 9:59:56 PM",NaN

time,distance
"5/8/2026, 9:59:56 PM",NaN

time,distance
"5/8/2026, 9:59:56 PM",NaN

time,distance
"5/8/2026, 9:59:57 PM",NaN

time,distance
"5/8/2026, 9:59:57 PM",NaN

time,distance
"5/8/2026, 9:59:57 PM",NaN

time,distance
"5/8/2026, 9:59:57 PM",NaN

time,distance
"5/8/2026, 9:59:57 PM",NaN

time,distance
"5/8/2026, 9:59:57 PM",NaN

time,distance
"5/8/2026, 9:59:57 PM",NaN

